time;OUR.SS_AS
0;358.97
0.007375;367.95
0.018795833;379.91
0.022445833;338.03
0.039608333;350
0.051016667;364.96
0.061495833;335.04
0.072845833;361.97
0.0832375;350
0.0876375;622.22
0.096354167;717.95
0.101829167;771.79
0.109704167;804.7
0.122095833;852.56
0.139158333;885.47
0.159779167;894.44
0.184916667;918.38
0.200904167;936.32
0.232979167;951.28
0.2376875;927.35
0.247829167;966.24
0.261666667;954.27
0.275354167;972.22
0.300566667;981.2
0.318833333;1002.14
0.3385;972.22
0.365979167;987.18
0.3777125;936.32
0.3867625;963.25
0.402895833;951.28
0.422325;969.23
0.4452875;969.23
0.47165;978.21
0.49005;972.22
0.507258333;975.21
0.523358333;969.23
0.540566667;972.22
0.558891667;981.2
0.573833333;978.21
0.581720833;774.79
0.5955;774.79
0.5999;813.68
0.612558333;807.69
0.625245833;795.73
0.64715;777.78
0.663266667;768.8
0.683904167;774.79
0.694308333;759.83
0.7105875;717.95
0.7245125;688.03
0.748666667;679.06
0.755645833;661.11
0.768420833;631.2
0.78595;568.38
0.802054167;562.39
0.8194375;529.49
0.837970833;496.58
0.848333333;490.6
0.865658333;469.66
0.878375;451.71
0.891120833;427.78
0.900366667;415.81
0.913066667;400.85
0.934854167;406.84
0.9532375;403.85
0.975095833;394.87
0.9820875;373.93
0.997070833;361.97
1;358.97
1.007375;367.95
1.018795833;379.91
1.022445833;338.03
1.039608333;350
1.051016667;364.96
1.061495833;335.04
1.072845833;361.97
1.0832375;350
1.0876375;622.22
1.096354167;717.95
1.101829167;771.79
1.109704167;804.7
1.122095833;852.56
1.139158333;885.47
1.159779167;894.44
1.184916667;918.38
1.200904167;936.32
1.232979167;951.28
1.2376875;927.35
1.247829167;966.24
1.261666667;954.27
1.275354167;972.22
1.300566667;981.2
1.318833333;1002.14
1.3385;972.22
1.365979167;987.18
1.3777125;936.32
1.3867625;963.25
1.402895833;951.28
1.422325;969.23
1.4452875;969.23
1.47165;978.21
1.49005;972.22
1.507258333;975.21
1.523358333;969.23
1.540566667;972.22
1.558891667;981.2
1.573833333;978.21
1.581720833;774.79
1.5955;774.79
1.5999;813.68
1.612558333;807.69
1.625245833;795.73
1.64715;777.78
1.663266667;768.8
1.683904167;774.79
1.694308333;759.83
1.7105875;717.95
1.7245125;688.03
1.748666667;679.06
1.755645833;661.11
1.768420833;631.2
1.78595;568.38
1.802054167;562.39
1.8194375;529.49
1.837970833;496.58
1.848333333;490.6
1.865658333;469.66
1.878375;451.71
1.891120833;427.78
1.900366667;415.81
1.913066667;400.85
1.934854167;406.84
1.9532375;403.85
1.975095833;394.87
1.9820875;373.93
1.997070833;361.97
2;358.97
2.007375;367.95
2.018795833;379.91
2.022445833;338.03
2.039608333;350
2.051016667;364.96
2.061495833;335.04
2.072845833;361.97
2.0832375;350
2.0876375;622.22
2.096354167;717.95
2.101829167;771.79
2.109704167;804.7
2.122095833;852.56
2.139158333;885.47
2.159779167;894.44
2.184916667;918.38
2.200904167;936.32
2.232979167;951.28
2.2376875;927.35
2.247829167;966.24
2.261666667;954.27
2.275354167;972.22
2.300566667;981.2
2.318833333;1002.14
2.3385;972.22
2.365979167;987.18
2.3777125;936.32
2.3867625;963.25
2.402895833;951.28
2.422325;969.23
2.4452875;969.23
2.47165;978.21
2.49005;972.22
2.507258333;975.21
2.523358333;969.23
2.540566667;972.22
2.558891667;981.2
2.573833333;978.21
2.581720833;774.79
2.5955;774.79
2.5999;813.68
2.612558333;807.69
2.625245833;795.73
2.64715;777.78
2.663266667;768.8
2.683904167;774.79
2.694308333;759.83
2.7105875;717.95
2.7245125;688.03
2.748666667;679.06
2.755645833;661.11
2.768420833;631.2
2.78595;568.38
2.802054167;562.39
2.8194375;529.49
2.837970833;496.58
2.848333333;490.6
2.865658333;469.66
2.878375;451.71
2.891120833;427.78
2.900366667;415.81
2.913066667;400.85
2.934854167;406.84
2.9532375;403.85
2.975095833;394.87
2.9820875;373.93
2.997070833;361.97
3;358.97
3.007375;367.95
3.018795833;379.91
3.022445833;338.03
3.039608333;350
3.051016667;364.96
3.061495833;335.04
3.072845833;361.97
