x;SNO_AS
0;24.1876
0.081066667;23.6098
0.1651;17.219
0.247095833;14.5787
0.330533333;12.2193
0.415258333;11.1721
0.496904167;10.8756
0.583041667;10.2969
0.662454167;15.0633
0.747895833;19.1723
0.8291125;21.782
0.911866667;24.0165
0.994970833;23.9072
1;24.1876
1.081066667;23.6098
1.1651;17.219
1.247095833;14.5787
1.330533333;12.2193
1.415258333;11.1721
1.496904167;10.8756
1.583041667;10.2969
1.662454167;15.0633
1.747895833;19.1723
1.8291125;21.782
1.911866667;24.0165
1.994970833;23.9072
2;24.1876
2.081066667;23.6098
2.1651;17.219
2.247095833;14.5787
2.330533333;12.2193
2.415258333;11.1721
2.496904167;10.8756
2.583041667;10.2969
2.662454167;15.0633
2.747895833;19.1723
2.8291125;21.782
2.911866667;24.0165
2.994970833;23.9072
3;24.1876
3.081066667;23.6098
3.1651;17.219
3.247095833;14.5787
3.330533333;12.2193
3.415258333;11.1721
3.496904167;10.8756
3.583041667;10.2969
3.662454167;15.0633
3.747895833;19.1723
3.8291125;21.782
3.911866667;24.0165
3.994970833;23.9072
4;24.1876
4.081066667;23.6098
4.1651;17.219
4.247095833;14.5787
4.330533333;12.2193
4.415258333;11.1721
4.496904167;10.8756
4.583041667;10.2969
4.662454167;15.0633
4.747895833;19.1723
4.8291125;21.782
4.911866667;24.0165
4.994970833;23.9072
5;24.1876
5.081066667;23.6098
5.1651;17.219
5.247095833;14.5787
5.330533333;12.2193
5.415258333;11.1721
5.496904167;10.8756
5.583041667;10.2969
5.662454167;15.0633
5.747895833;19.1723
5.8291125;21.782
5.911866667;24.0165
5.994970833;23.9072
6;24.1876
6.081066667;23.6098
6.1651;17.219
6.247095833;14.5787
6.330533333;12.2193
6.415258333;11.1721
6.496904167;10.8756
6.583041667;10.2969
6.662454167;15.0633
6.747895833;19.1723
6.8291125;21.782
6.911866667;24.0165
6.994970833;23.9072
7;24.1876
7.081066667;23.6098
7.1651;17.219
7.247095833;14.5787
7.330533333;12.2193
7.415258333;11.1721
7.496904167;10.8756
7.583041667;10.2969
7.662454167;15.0633
7.747895833;19.1723
7.8291125;21.782
7.911866667;24.0165
7.994970833;23.9072
8;24.1876
8.081066667;23.6098
8.1651;17.219
8.247095833;14.5787
8.330533333;12.2193
8.415258333;11.1721
8.496904167;10.8756
8.583041667;10.2969
8.662454167;15.0633
8.747895833;19.1723
8.8291125;21.782
8.911866667;24.0165
8.994970833;23.9072
9;24.1876
9.081066667;23.6098
9.1651;17.219
9.247095833;14.5787
9.330533333;12.2193
